name,team
KÄMNA Lennard,BORA - hansgrohe
KÜNG Stefan,Groupama - FDJ
LAAS Martin,BORA - hansgrohe
LADAGNOUS Matthieu,Groupama - FDJ
LAENGEN Vegard Stake,UAE Team Emirates
LAFAY Victor,Cofidis
LAGRÉE Adrien,B&B Hotels - KTM
LAMPAERT Yves,Quick-Step Alpha Vinyl Team
LANDA Mikel,Bahrain - Victorious
LANGELLOTTI Victor,Burgos-BH
LANGEVELD Sebastian,EF Education-EasyPost
LAPEIRA Paul,AG2R Citroën Team
LAPORTE Christophe,Jumbo-Visma
LARSEN Niklas,Uno-X Pro Cycling Team
LASTRA Jonathan,Caja Rural - Seguros RGA
LATOUR Pierre,TotalEnergies
LAUK Karl Patrick,Bingoal Pauwels Sauces WB
LAURANCE Axel,B&B Hotels - KTM
LAWLESS Chris,TotalEnergies
LAZKANO Oier,Movistar Team
LE GAC Olivier,Groupama - FDJ
LECROQ Jérémy,B&B Hotels - KTM
LEDANOIS Kévin,Team Arkéa Samsic
LEEMREIZE Gijs,Jumbo-Visma
LEITÃO Iúri,Caja Rural - Seguros RGA
LEKNESSUND Andreas,Team DSM
LEMOINE Cyril,B&B Hotels - KTM
LEVY William Blume,Uno-X Pro Cycling Team
LEYSEN Senne,Alpecin-Deceuninck
LIENHARD Fabian,Groupama - FDJ
LIEPIŅŠ Emīls,Trek - Segafredo
LIETAER Eliot,B&B Hotels - KTM
LIVYNS Arjen,Bingoal Pauwels Sauces WB
LOBATO Juan José,Euskaltel - Euskadi
LONARDI Giovanni,EOLO-Kometa
LOPEZ Diego,Equipo Kern Pharma
LOUVEL Matis,Team Arkéa Samsic
LOZANO David,Team Novo Nordisk
LUDVIGSSON Tobias,Groupama - FDJ
LUNDER Eirik,Gazprom - RusVelo
LUTSENKO Alexey,Astana Qazaqstan Team
LÓPEZ Jordi,Equipo Kern Pharma
LÓPEZ Juan Pedro,Trek - Segafredo
LÓPEZ Miguel Ángel,Astana Qazaqstan Team
LÓPEZ-CÓZAR Juan Antonio,Burgos-BH
LÜHRS Luis-Joe,BORA - hansgrohe
MAAS Jan,Team BikeExchange - Jayco
MACIEJUK Filip,Bahrain - Victorious
MADAN Ahmed,Bahrain - Victorious
MADOUAS Valentin,Groupama - FDJ
MADRAZO Ángel,Burgos-BH
MAESTRI Mirco,EOLO-Kometa
MAJKA Rafał,UAE Team Emirates
MALUCELLI Matteo,Gazprom - RusVelo
MANNION Gavin,Human Powered Health
MANZIN Lorrenzo,TotalEnergies
MARCELLUSI Martin,Bardiani-CSF-Faizanè
MARCHIORI Leonardo,Drone Hopper -  Androni Giocattoli
MARECZKO Jakub,Alpecin-Deceuninck
MARENGO Umberto,Drone Hopper -  Androni Giocattoli
MARIT Arne,Sport Vlaanderen - Baloise
MARQUEZ Marti,Equipo Kern Pharma
MARTIN Alex,EOLO-Kometa
MARTIN David,EOLO-Kometa
MARTIN Guillaume,Cofidis
MARTINELLI Alessio,Bardiani-CSF-Faizanè
MARTINELLI Davide,Astana Qazaqstan Team
MARTÍN Gotzon,Euskaltel - Euskadi
MARTÍN Sergio Roman,Caja Rural - Seguros RGA
MARTÍNEZ Daniel Felipe,INEOS Grenadiers
MAS Enric,Movistar Team
MAS Lluís,Movistar Team
MASNADA Fausto,Quick-Step Alpha Vinyl Team
MATTHEWS Michael,Team BikeExchange - Jayco
MATÉ Luis Ángel,Euskaltel - Euskadi
MAYRHOFER Marius,Team DSM
MAZZUCCO Fabio,Bardiani-CSF-Faizanè
MAŁECKI Kamil,Lotto Soudal
MCLAY Daniel,Team Arkéa Samsic
MCNULTY Brandon,UAE Team Emirates
MEENS Johan,Bingoal Pauwels Sauces WB
MEEUS Jordi,BORA - hansgrohe
MEINTJES Louis,Intermarché - Wanty - Gobert Matériaux
MENDEZ Daniel Alejandro,Equipo Kern Pharma
MENTEN Milan,Bingoal Pauwels Sauces WB
MERCHAN Didier,Drone Hopper -  Androni Giocattoli
MERLIER Tim,Alpecin-Deceuninck
MERTENS Julian,Sport Vlaanderen - Baloise
MERTZ Rémy,Bingoal Pauwels Sauces WB
MEURISSE Xandro,Alpecin-Deceuninck
MEYER Cameron,Team BikeExchange - Jayco
